date,symbol,open,close,low, high, volume, dailyChangePercentage
2015-01-16T17:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T18:38:00-02:00[America/Sao_Paulo],BTC,189.0,189.0,189.0,189.0,0.6,0.0
2015-01-16T19:38:00-02:00[America/Sao_Paulo],BTC,189.0,206.5,189.0,209.7,0.89,9.2593
2015-01-16T20:38:00-02:00[America/Sao_Paulo],BTC,201.7,199.71,196.51,209.82,1.34,-3.2881
2015-01-16T21:38:00-02:00[America/Sao_Paulo],BTC,202.85,199.46,196.68,209.25,1.27,-0.1252
2015-01-16T22:38:00-02:00[America/Sao_Paulo],BTC,203.69,199.46,199.46,203.69,1.2,0.0
2015-01-16T23:38:00-02:00[America/Sao_Paulo],BTC,203.69,199.46,199.46,203.69,1.2,0.0
2015-01-17T00:38:00-02:00[America/Sao_Paulo],BTC,203.69,210.0,199.46,210.0,1.323,5.2843
2015-01-17T01:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T02:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T03:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T04:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T05:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T06:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T07:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T08:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T09:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T10:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T11:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T12:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T13:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T14:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,1.38,0.0
2015-01-17T15:38:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,195.0,210.0,1.253,0.0
2015-01-18T22:36:00-02:00[America/Sao_Paulo],BTC,195.0,210.0,184.0,210.0,1.299,0.0
2015-01-18T23:36:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,12.0,0.0
2015-01-19T00:36:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,12.0,0.0
2015-01-19T01:36:00-02:00[America/Sao_Paulo],BTC,210.0,210.0,210.0,210.0,12.0,0.0
2015-01-19T02:36:00-02:00[America/Sao_Paulo],BTC,210.0,225.51,210.0,225.51,2.88,7.3857
2015-01-19T03:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T04:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T05:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T06:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T07:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T08:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T09:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T10:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T11:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T12:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T13:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T14:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T15:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T16:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T17:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T18:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T19:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T20:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T21:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T22:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-19T23:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T00:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T01:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T02:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T03:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T04:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T05:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T06:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T07:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T08:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T09:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T10:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T11:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T12:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T13:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T14:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T15:36:00-02:00[America/Sao_Paulo],BTC,225.51,225.51,225.51,225.51,0.6,0.0
2015-01-20T16:36:00-02:00[America/Sao_Paulo],BTC,225.51,215.0,215.0,225.51,0.6,-4.6605
2015-01-20T17:36:00-02:00[America/Sao_Paulo],BTC,215.0,208.0,208.0,215.0,0.6,-3.2558
2015-01-20T18:36:00-02:00[America/Sao_Paulo],BTC,208.0,208.0,208.0,208.0,0.6,0.0
2015-01-20T19:36:00-02:00[America/Sao_Paulo],BTC,208.0,208.0,208.0,208.0,0.6,0.0
2015-01-20T20:36:00-02:00[America/Sao_Paulo],BTC,208.0,208.0,208.0,208.0,0.6,0.0
2015-01-20T21:36:00-02:00[America/Sao_Paulo],BTC,208.0,208.0,208.0,208.0,0.6,0.0
2015-01-20T22:36:00-02:00[America/Sao_Paulo],BTC,208.0,218.0,208.0,218.0,0.6,4.8077
2015-01-20T23:36:00-02:00[America/Sao_Paulo],BTC,218.0,224.0,218.0,224.0,0.457,2.7523
2015-01-21T00:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T01:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T02:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T03:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T04:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T05:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T06:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T07:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T08:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
2015-01-21T09:36:00-02:00[America/Sao_Paulo],BTC,224.0,224.0,224.0,224.0,0.24,0.0
