Date,Symbol,Open,Close,Low,High,Volume BTC,Volume USD
2019-08-08 11-AM,BTC,11830,11817,11780.1,11900,114.77,1359421.92
2019-08-08 10-AM,BTC,11871.9,11830,11813.6,11875.4,134.66,1594111
2019-08-08 09-AM,BTC,11894.4,11871.9,11835.9,11931.5,102.64,1220116.99
2019-08-08 08-AM,BTC,11902.5,11894.4,11868.5,11975,137.31,1637505.97
2019-08-08 07-AM,BTC,11830.5,11902.5,11800,11909.9,115.05,1364713.36
2019-08-08 06-AM,BTC,11927.5,11830.5,11750,11927.5,268.83,3177900.67
2019-08-08 05-AM,BTC,11945,11927.5,11888.9,11945.4,104.38,1243296.45
2019-08-08 04-AM,BTC,11940,11945,11850.2,11966.9,142.01,1691216.42
2019-08-08 03-AM,BTC,11920.9,11940,11920.9,12000,169.13,2023800.09
2019-08-08 02-AM,BTC,11899,11920.9,11887.1,11950,79.8,951061.53
2019-08-08 01-AM,BTC,11963.9,11899,11851.4,11969.5,152.82,1817584.02
2019-08-08 12-AM,BTC,11962.7,11963.9,11875,12019,149,1780201.13
2019-08-07 11-PM,BTC,11959.7,11962.7,11825,12017.3,363.58,4343535.67
2019-08-07 10-PM,BTC,11942.5,11959.7,11871,12029.2,414.94,4962625.76
2019-08-07 09-PM,BTC,11859.1,11942.5,11834.6,12066.1,558.51,6670493.04
2019-08-07 08-PM,BTC,11769.7,11859.1,11615,11955.1,825.95,9762991.82
2019-08-07 07-PM,BTC,11724.6,11769.7,11649.1,11785,252.01,2952346.84
2019-08-07 06-PM,BTC,11767.8,11724.6,11707,11790,168.61,1983868.5
2019-08-07 05-PM,BTC,11638.4,11767.8,11616,11767.8,296.58,3469880.51
2019-08-07 04-PM,BTC,11645,11638.4,11452.7,11685.4,688.83,7978905.45
2019-08-07 03-PM,BTC,12073,11645,11575,12099,1382.53,16196441.78
2019-08-07 02-PM,BTC,12038,12073,12018.1,12111.3,288.61,3483644.6
2019-08-07 01-PM,BTC,11766.8,12038,11766.8,12173.8,1211.65,14547169.92
2019-08-07 12-PM,BTC,11729.8,11766.8,11697.7,11771.4,207.76,2439565.19
2019-08-07 11-AM,BTC,11626.8,11729.8,11557.9,11742,446.81,5210408.04
2019-08-07 10-AM,BTC,11607.6,11626.8,11604,11673.7,258.11,3004764.55
2019-08-07 09-AM,BTC,11557,11607.6,11501.3,11642.1,183.97,2127474.37
2019-08-07 08-AM,BTC,11516.1,11557,11453.1,11575,189.15,2179604.69
2019-08-07 07-AM,BTC,11601,11516.1,11500,11623.9,173.91,2010307.61
2019-08-07 06-AM,BTC,11596,11601,11550,11650,207.42,2405994.45
2019-08-07 05-AM,BTC,11671.5,11596,11575,11700,171.63,1998502.11
2019-08-07 04-AM,BTC,11619,11671.5,11600,11698.7,144.93,1687981.33
2019-08-07 03-AM,BTC,11629.6,11619,11550.5,11652.6,121.64,1411298.96
2019-08-07 02-AM,BTC,11508,11629.6,11506.3,11658.7,327.86,3802976.46
2019-08-07 01-AM,BTC,11465.2,11508,11446.2,11565,257.87,2968688.57
2019-08-07 12-AM,BTC,11458.8,11465.2,11387,11498,375.18,4290516.11
2019-08-06 11-PM,BTC,11299.9,11458.8,11272.8,11480,483.41,5505465.86
2019-08-06 10-PM,BTC,11364.2,11299.9,11200,11396.6,641.25,7236769.53
2019-08-06 09-PM,BTC,11639.5,11364.2,11300,11647,633.67,7248368.17
2019-08-06 08-PM,BTC,11695.2,11639.5,11588.1,11732.9,278.01,3243797.52
2019-08-06 07-PM,BTC,11738.8,11695.2,11228,11754.6,831.99,9631008.89
2019-08-06 06-PM,BTC,11700.1,11738.8,11700,11743.5,119.63,1401684.88
2019-08-06 05-PM,BTC,11774.9,11700.1,11690,11827.8,314.52,3697936.41
2019-08-06 04-PM,BTC,11704.4,11774.9,11651.6,11799,180.93,2121734.89
2019-08-06 03-PM,BTC,11734.5,11704.4,11668.3,11756.1,269.62,3157888.63
2019-08-06 02-PM,BTC,11788,11734.5,11676.6,11788,168.26,1974712.98
2019-08-06 01-PM,BTC,11674.4,11788,11649.9,11788,205.23,2401707.18
2019-08-06 12-PM,BTC,11769.2,11674.4,11500.2,11782.5,450.12,5241857.62
2019-08-06 11-AM,BTC,11745.3,11769.2,11650,11834.9,389.56,4584964.23
2019-08-06 10-AM,BTC,12240.1,11745.3,11540,12340,1566.57,18776528.35
2019-08-06 09-AM,BTC,12203.6,12240.1,12203.6,12260,128.26,1569765.68
2019-08-06 08-AM,BTC,12192.7,12203.6,12189.9,12269.8,259.32,3170816.19
