date,symbol,open,close,low, high, volume
2015-07-21,BTC,280.37,276.49,276.01,281.27,4974.066932080004
2015-07-22,BTC,276.58,279.06,275.01,279.74,5089.020467180002
2015-07-23,BTC,279.06,276.88,276.28,279.18,5299.428641030002
2015-07-24,BTC,276.87,288.32,276.43,291.47,7653.411215690003
2015-07-25,BTC,288.32,289.48,287.62,291.66,4422.06181709
2015-07-26,BTC,289.47,293.8,288.65,294.96,4422.686909059996
2015-07-27,BTC,293.79,296.41,287.24,297.8,7262.966188039995
2015-07-28,BTC,296.4,296.0,293.69,298.0,5781.085310309998
2015-07-29,BTC,295.69,289.45,288.24,296.0,5359.324569580002
2015-07-30,BTC,289.45,289.77,286.56,291.56,5517.276177009995
2015-07-31,BTC,289.84,283.12,282.25,289.88,6006.749962979993
2015-08-01,BTC,283.27,280.56,277.26,284.0,4335.86454859999
2015-08-02,BTC,280.32,281.41,277.33,282.62,3971.1993087400015
2015-08-03,BTC,281.31,283.62,280.11,285.81,5632.041815050013
2015-08-04,BTC,283.62,286.06,282.0,286.47,5686.442656129999
2015-08-05,BTC,286.06,282.22,281.08,286.12,6232.471673220003
2015-08-06,BTC,282.04,278.93,278.82,282.31,5461.135459409996
2015-08-07,BTC,278.88,279.36,277.05,281.17,5177.250643630001
2015-08-08,BTC,279.33,262.33,260.07,279.83,6882.987675849997
2015-08-09,BTC,262.33,267.01,262.01,268.89,5101.979970379987
2015-08-10,BTC,266.55,265.4,263.17,267.6,5540.734677119992
2015-08-11,BTC,265.41,272.03,265.12,272.34,6531.9632202499915
2015-08-12,BTC,272.0,266.7,265.79,272.4,6182.752347970003
2015-08-13,BTC,266.7,263.6,262.94,267.13,5778.061554409995
2015-08-14,BTC,263.6,266.23,262.5,267.98,7206.7422087199875
2015-08-15,BTC,266.24,262.56,260.11,267.69,4527.677547030008
2015-08-16,BTC,262.61,258.94,255.67,263.0,6285.092147680003
2015-08-17,BTC,258.96,256.16,255.58,261.57,7430.3950178899995
2015-08-18,BTC,256.47,235.95,200.0,257.27,13719.575388009991
2015-08-19,BTC,235.93,229.48,222.11,237.98,12269.334007369996
2015-08-20,BTC,229.48,233.95,229.48,238.2,9027.793320339997
2015-08-21,BTC,233.88,234.47,231.15,236.98,8430.944726189997
2015-08-22,BTC,234.47,232.58,222.68,234.87,7123.434058230013
2015-08-23,BTC,232.56,227.4,225.22,233.25,5355.019266070002
2015-08-24,BTC,227.4,210.0,198.02,228.88,22285.304967719978
2015-08-25,BTC,209.43,225.01,203.78,228.14,14961.338794639994
2015-08-26,BTC,224.97,225.92,220.16,231.67,9669.856257240002
2015-08-27,BTC,225.83,224.55,221.2,229.99,8711.16329956
2015-08-28,BTC,224.38,232.98,223.0,236.18,9529.122325160002
2015-08-29,BTC,232.72,233.36,228.0,233.69,4889.795166800009
2015-08-30,BTC,233.31,228.56,226.59,233.31,5282.845167889999
2015-08-31,BTC,228.47,230.65,225.23,233.16,7933.789863749994
2015-09-01,BTC,230.61,226.82,226.42,230.61,8505.739332219997
